"_id","_labels","createdAt","expanded","id","label","origin","position","visible","_start","_end","_type","citation","citations","createdAt","origin"
"119939",":Concept","2023-05-17T21:07:37.120Z","true","9883","Health care","","[736.7898117908153,1183.855441185399]","true",,,,,,,
"119886",":Concept","2023-05-17T20:41:10.380Z","true","6177","Transport","","[1134.129988075334,1420.4310160344603]","true",,,,,,,
"119885",":Concept","2023-05-17T20:39:16.374Z","true","4611","Delivery","","[880.7114652460453,1501.9470162297032]","true",,,,,,,
"119884",":Concept","2023-05-17T20:39:08.923Z","true","6883","Drone","","[844.2107442267775,1308.971490458639]","true",,,,,,,
"119883",":Concept","2023-05-17T20:38:59.637Z","true","1065","Farming","","[1456.0448831904969,1545.9502166018324]","true",,,,,,,
"119882",":Concept","2023-05-17T20:38:08.138Z","true","7802","Manufacturing","","[662.615584429174,1573.1670611561824]","true",,,,,,,
"119881",":Concept","2023-05-17T20:37:59.737Z","true","5004","3D printing","","[658.4574249428907,1332.161125103032]","true",,,,,,,
"119880",":Concept","2023-05-17T20:37:32.231Z","false","6404","Electric vehicle","","[1327.5863991594688,1275.1279236697394]","true",,,,,,,
"119879",":Concept","2023-05-17T20:37:26.010Z","true","8925","Self-driving car","","[959.9978930526192,1303.9895857613078]","true",,,,,,,
"119878",":Concept","2023-05-17T20:37:07.310Z","true","7944","Robotics","","[874.3071815804495,1592.8460537122228]","true",,,,,,,
"119877",":Concept","2023-05-17T20:36:57.797Z","true","843","Awareness","","[230.5535657505653,683.674068249121]","true",,,,,,,
"119876",":Concept","2023-05-17T20:36:52.829Z","true","7436","Education","","[472.1940700594905,781.4813526468083]","true",,,,,,,
"119874",":Concept","2023-05-17T20:36:35.970Z","true","2650","Virtual reality","","[94.5518296052283,24.79695058929442]","true",,,,,,,
"119873",":Concept","2023-05-17T20:36:29.911Z","true","5653","Cloud computing","","[1120.002213805906,1185.5076907351074]","true",,,,,,,
"119872",":Concept","2023-05-17T20:36:24.018Z","true","6653","Big data","","[1234.6295911647496,1040.8155726759132]","true",,,,,,,
"119871",":Concept","2023-05-17T20:36:19.601Z","true","87","Internet of things","","[1350.3957024073718,1209.3793843696703]","true",,,,,,,
"119867",":Concept","2023-05-17T20:35:47.647Z","true","5328","Machine learning","","[997.8986942445426,1104.1707938872469]","true",,,,,,,
"119866",":Concept","2023-05-17T20:35:33.246Z","true","3021","Data center","","[1281.0487103158155,1109.6851803309291]","true",,,,,,,
"119817",":Concept","2023-05-17T20:35:26.370Z","true","7276","Energy efficiency","","[649.7909947300975,906.6159782658973]","true",,,,,,,
