id,label
204822,Environmental monitoring
204640,Ethical AI
204816,Afforestation
204914,School
204802,Rebound effect
204926,Mining
204881,Natural gas
204906,Biomass (energy)
204852,Clean Air Act (United States)
204767,Income
204862,Data mining
204844,Windmill
204784,Farming
204821,Electronic waste
204651,Goods and services
204721,Meditation
204760,COVID-19 lockdowns
204830,Life-cycle assessment
204777,Hydroelectricity
204709,E-commerce
204658,Sport
204871,Deforestation
204846,Energy consumption
204678,Quality of life
204773,Positive psychology
204803,Social complexity
204716,Tidal power
204633,Beach erosion
204738,Water power
204892,Public good (economics)
204838,Internet of things
204688,Tragedy of the commons
204810,Biomass energy
204711,Supply chain management
204866,Electric car
204824,ARPANET
204686,Extreme weather
204794,IPad
204649,Battery recycling
204682,Collapse
204811,Energy conservation
204796,Fracking
204664,Manufacturing
204920,Habitat loss
204856,Public Transportation
204737,Geothermal power
204745,Mental health
204636,Data analysis
204801,Cognitive Surplus
204702,Emotional well-being
204870,Electronic billing
204860,Battery
204660,Farmed fish
204827,Meat consumption
204642,Precision agriculture
204785,Computer network
204728,Recycling
204756,Air pollution
204684,Electronic waste recycling
204676,Economic inequality
204898,Deep learning
204900,Climate change
204675,Debt
204911,Technological advancement
204922,Machine learning
204924,Electricity production
204847,Green chemistry
204819,Human capital
204693,Natural disaster
204812,Land Pollution
204662,Combustion
204639,Diminishing returns
204834,Gross domestic product
204910,Data
204643,Investment
204725,Littering
204874,Internal combustion engine
204746,LCD television
204908,Food
204653,Water footprint
204934,Physical well-being
204800,Dog
204680,Infrastructure
204845,Global Warming
204793,Factory
204831,Driving
204781,Overfishing
204839,Pollution
204857,Coal
204715,Cycling
204751,Air conditioning
204775,Ecoinformatics
204823,Government spending
204918,Cradle to Cradle: Remaking the Way We Make Things
204880,Planned obsolescence
204915,Homework
204763,Software engineering
204761,Food choice
204655,Wind power
204893,Internet
204754,Sociotechnical system
204875,Big data
204903,Wage
204726,Renewable energy
204901,Animal welfare
204730,Computer science
204764,Electricity
204825,Petroleum
204887,Taxonomy
204727,B-corp
204701,Biking
204740,Customs and Border Protection
204710,Ecosystem
204921,Travel
204877,Power outage
204703,Gas car
204697,Cloud computing
204814,Public transport
204641,Climate change mitigation
204780,Construction
204759,New Technologies
204644,Capitalism
204714,Emissions trading
204685,Sustainability
204670,Climate migrant
204748,Composting
204755,Wind turbine
204902,Hydroelectric Power
204695,Productivity
204913,MacBook Pro
204829,Tidal energy
204736,Technology
204769,National security
204672,Sinking cities
204720,Sleep
204826,Nuclear power
204778,Electric vehicle
204884,Samsung Galaxy
204705,Unemployment
204689,Airport security
204646,Urban agriculture
204733,Wildlife conservation
